Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
19-JUL-2010,19.7,20.87,19.36,20.71,19.7,1.01,5.13
20-JUL-2010,20.71,20.71,19.61,20.38,20.71,-0.33,-1.59
21-JUL-2010,20.38,20.38,18.82,20,20.38,-0.38,-1.86
22-JUL-2010,20,20.37,18.68,18.9,20,-1.10,-5.50
23-JUL-2010,18.9,19.72,17.14,19.24,18.9,0.34,1.80
26-JUL-2010,19.24,20.05,18.62,19.97,19.24,0.73,3.79
27-JUL-2010,19.97,20.16,18.96,19.22,19.97,-0.75,-3.76
28-JUL-2010,19.22,19.81,17.96,19.52,19.22,0.30,1.56
29-JUL-2010,19.52,19.65,18.33,18.33,19.52,-1.19,-6.10
30-JUL-2010,18.33,19.23,16.25,18.94,18.33,0.61,3.33
02-AUG-2010,18.94,19.26,17.92,17.99,18.94,-0.95,-5.02
03-AUG-2010,17.99,18.26,16.78,17.55,17.99,-0.44,-2.45
04-AUG-2010,17.55,17.64,16.74,17.04,17.55,-0.51,-2.91
05-AUG-2010,17.04,17.72,15.83,17.71,17.04,0.67,3.93
06-AUG-2010,17.71,17.71,16.63,17.37,17.71,-0.34,-1.92
09-AUG-2010,17.37,17.92,16.87,17,17.37,-0.37,-2.13
10-AUG-2010,17,17.75,16.37,17.33,17,0.33,1.94
11-AUG-2010,17.33,18.11,16.39,18.11,17.33,0.78,4.50
12-AUG-2010,18.11,18.71,16.74,18,18.11,-0.11,-0.61
13-AUG-2010,18,18,15.87,16.74,18,-1.26,-7.00
16-AUG-2010,16.74,18.32,15.8,18.11,16.74,1.37,8.18
17-AUG-2010,18.11,18.11,16.25,17.63,18.11,-0.48,-2.65
18-AUG-2010,17.63,17.76,15.42,16.4,17.63,-1.23,-6.98
19-AUG-2010,16.4,17.02,15.47,16.53,16.4,0.13,0.79
20-AUG-2010,16.53,16.87,15.29,16.7,16.53,0.17,1.03
23-AUG-2010,16.7,17.3,15.44,17.14,16.7,0.44,2.63
24-AUG-2010,17.14,17.8,15.58,16.99,17.14,-0.15,-0.88
25-AUG-2010,16.99,19.35,15.4,18.92,16.99,1.93,11.36
26-AUG-2010,18.92,18.92,16.9,17.09,18.92,-1.83,-9.67
27-AUG-2010,17.09,19.63,15.28,19.63,17.09,2.54,14.86
30-AUG-2010,19.63,19.63,16.6,18.36,19.63,-1.27,-6.47
31-AUG-2010,18.36,19.42,17.59,18.47,18.36,0.11,0.60
01-SEP-2010,18.47,18.47,16.66,16.7,18.47,-1.77,-9.58
02-SEP-2010,16.7,16.7,15.13,16.15,16.7,-0.55,-3.29
03-SEP-2010,16.15,16.44,15.23,15.86,16.15,-0.29,-1.80
06-SEP-2010,15.86,16.11,15.09,15.22,15.86,-0.64,-4.04
07-SEP-2010,15.22,16,14.35,15.83,15.22,0.61,4.01
08-SEP-2010,15.83,16.32,15.16,15.97,15.83,0.14,0.88
09-SEP-2010,15.97,16.2,14.94,15.92,15.97,-0.05,-0.31
13-SEP-2010,15.92,18.23,14.88,18.14,15.92,2.22,13.94
14-SEP-2010,18.14,20.63,16.88,18.6,18.14,0.46,2.54
15-SEP-2010,18.6,20.08,17.54,19.43,18.6,0.83,4.46
16-SEP-2010,19.43,20.09,17.97,18.85,19.43,-0.58,-2.99
17-SEP-2010,18.85,19.49,16.51,19.49,18.85,0.64,3.40
20-SEP-2010,19.49,21.97,17.85,21.95,19.49,2.46,12.62
21-SEP-2010,21.95,24.3,20.94,22.63,21.95,0.68,3.10
22-SEP-2010,22.63,24.35,20.61,24.29,22.63,1.66,7.34
23-SEP-2010,24.29,24.46,20.71,23.9,24.29,-0.39,-1.61
24-SEP-2010,23.9,23.9,21.58,21.71,23.9,-2.19,-9.16
27-SEP-2010,21.71,22.82,20.47,22.36,21.71,0.65,2.99
28-SEP-2010,22.36,22.42,20.85,21.21,22.36,-1.15,-5.14
29-SEP-2010,21.21,22.57,18.8,22.16,21.21,0.95,4.48
30-SEP-2010,22.16,22.95,19.05,22.25,22.16,0.09,0.41
01-OCT-2010,22.25,22.25,20.21,21.43,22.25,-0.82,-3.69
04-OCT-2010,21.43,22.88,21.43,22.8,21.43,1.37,6.39
05-OCT-2010,22.8,23.01,21.81,22.17,22.8,-0.63,-2.76
06-OCT-2010,22.17,22.17,20.59,21.73,22.17,-0.44,-1.98
07-OCT-2010,21.73,22.78,19.33,22.45,21.73,0.72,3.31
08-OCT-2010,22.45,22.45,21.03,21.4,22.45,-1.05,-4.68
11-OCT-2010,21.4,21.76,19.67,21.2,21.4,-0.20,-0.93
12-OCT-2010,21.2,22.22,20.5,20.51,21.2,-0.69,-3.25
13-OCT-2010,20.51,20.51,19.01,20.02,20.51,-0.49,-2.39
14-OCT-2010,20.02,20.99,18.14,20.6,20.02,0.58,2.90
15-OCT-2010,20.6,22.67,17.8,22.65,20.6,2.05,9.95
18-OCT-2010,22.65,23.99,21.97,22.35,22.65,-0.30,-1.32
19-OCT-2010,22.35,23.23,20.58,23.23,22.35,0.88,3.94
20-OCT-2010,23.23,23.86,21.92,23.8,23.23,0.57,2.45
21-OCT-2010,23.8,23.8,21.92,22.19,23.8,-1.61,-6.76
22-OCT-2010,22.19,22.44,20.42,21.61,22.19,-0.58,-2.61
25-OCT-2010,21.61,22.04,20.67,21.36,21.61,-0.25,-1.16
