Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JUL-2014,17.8725,18.15,17.24,17.6625,17.8725,-0.21,-1.17
02-JUL-2014,17.6625,17.79,17.09,17.57,17.6625,-0.09,-0.52
03-JUL-2014,17.57,18.2625,17.2325,17.805,17.57,0.24,1.34
04-JUL-2014,17.805,18.685,17.06,18.155,17.805,0.35,1.97
07-JUL-2014,18.155,19.575,17.5525,19.4075,18.155,1.25,6.90
08-JUL-2014,19.4075,19.9475,18.155,19.18,19.4075,-0.23,-1.17
09-JUL-2014,19.18,19.305,18.01,18.1875,19.18,-0.99,-5.17
10-JUL-2014,18.1875,18.1875,15.41,15.965,18.1875,-2.22,-12.22
11-JUL-2014,15.965,16.0225,14.845,15.7225,15.965,-0.24,-1.52
14-JUL-2014,15.7225,16.7075,14.9825,15.5625,15.7225,-0.16,-1.02
15-JUL-2014,15.5625,15.5625,13.8425,14.7675,15.5625,-0.80,-5.11
16-JUL-2014,14.7675,15.0825,13.815,14.73,14.7675,-0.04,-0.25
17-JUL-2014,14.73,15.18,11.9425,14.965,14.73,0.24,1.60
18-JUL-2014,14.965,15.5275,12.9775,15.095,14.965,0.13,0.87
21-JUL-2014,15.095,15.505,13.625,14.8975,15.095,-0.20,-1.31
22-JUL-2014,14.8975,14.8975,12.2475,14.64,14.8975,-0.26,-1.73
23-JUL-2014,14.64,15.095,12.465,14.69,14.64,0.05,0.34
24-JUL-2014,14.69,15.1475,12.4375,14.72,14.69,0.03,0.20
25-JUL-2014,14.72,14.9975,12.7775,14.22,14.72,-0.50,-3.40
28-JUL-2014,14.22,15.1,14.105,14.3225,14.22,0.10,0.72
30-JUL-2014,14.3225,14.76,13.6925,13.8875,14.3225,-0.44,-3.04
31-JUL-2014,13.8875,14.0675,13.125,13.8225,13.8875,-0.07,-0.47
01-AUG-2014,13.8225,15.38,13.7125,15.22,13.8225,1.40,10.11
04-AUG-2014,15.22,15.4725,14.3075,14.815,15.22,-0.41,-2.66
05-AUG-2014,14.815,14.815,13.6675,13.9475,14.815,-0.87,-5.86
06-AUG-2014,13.9475,14.565,12.9175,14.2975,13.9475,0.35,2.51
07-AUG-2014,14.2975,14.455,13.02,14.1375,14.2975,-0.16,-1.12
08-AUG-2014,14.1375,15.18,13.025,14.6175,14.1375,0.48,3.40
11-AUG-2014,14.6175,14.7625,13.4825,13.9975,14.6175,-0.62,-4.24
12-AUG-2014,13.9975,14.4275,12.33,13.4675,13.9975,-0.53,-3.79
13-AUG-2014,13.4675,14.0875,12.72,13.7625,13.4675,0.30,2.19
14-AUG-2014,13.7625,13.7625,11.8375,13.22,13.7625,-0.54,-3.94
18-AUG-2014,13.22,14.195,11.9775,13.5025,13.22,0.28,2.14
19-AUG-2014,13.5025,14.2075,11.945,13.905,13.5025,0.40,2.98
20-AUG-2014,13.905,14.33,12.4575,13.66,13.905,-0.25,-1.76
21-AUG-2014,13.66,14.36,12.0075,13.7325,13.66,0.07,0.53
22-AUG-2014,13.7325,13.9725,12.2025,13.62,13.7325,-0.11,-0.82
25-AUG-2014,13.62,14.165,12.0075,13.7875,13.62,0.17,1.23
26-AUG-2014,13.7875,14.52,13.28,13.9025,13.7875,0.12,0.83
27-AUG-2014,13.9025,13.9025,12.7425,13.0625,13.9025,-0.84,-6.04
28-AUG-2014,13.0625,14.345,12.325,13.0675,13.0625,0.01,0.04
01-SEP-2014,13.0675,13.675,12.8575,13.53,13.0675,0.46,3.54
02-SEP-2014,13.53,13.91,12.485,13.4475,13.53,-0.08,-0.61
03-SEP-2014,13.4475,13.9525,12.5675,13.3925,13.4475,-0.06,-0.41
04-SEP-2014,13.3925,13.615,12.3975,13.0775,13.3925,-0.32,-2.35
05-SEP-2014,13.0775,13.3075,12.305,12.935,13.0775,-0.14,-1.09
08-SEP-2014,12.935,13.0725,12.1775,12.7925,12.935,-0.14,-1.10
09-SEP-2014,12.7925,13.0425,11.0125,12.7575,12.7925,-0.04,-0.27
10-SEP-2014,12.7575,13.11,11.805,12.93,12.7575,0.17,1.35
11-SEP-2014,12.93,13.14,11.815,12.5175,12.93,-0.41,-3.19
12-SEP-2014,12.5175,12.62,11.3975,12.365,12.5175,-0.15,-1.22
15-SEP-2014,12.365,13.3625,12.0375,13.255,12.365,0.89,7.20
16-SEP-2014,13.255,13.7325,12.0475,13.2825,13.255,0.03,0.21
17-SEP-2014,13.2825,13.2825,11.2625,12.9475,13.2825,-0.34,-2.52
18-SEP-2014,12.9475,12.9475,11.05,12.325,12.9475,-0.62,-4.81
19-SEP-2014,12.325,12.4025,11.3825,11.8875,12.325,-0.44,-3.55
22-SEP-2014,11.8875,12.4375,10.315,11.565,11.8875,-0.32,-2.71
23-SEP-2014,11.565,12.8725,11.08,12.41,11.565,0.85,7.31
24-SEP-2014,12.41,13.515,11.8875,12.535,12.41,0.13,1.01
25-SEP-2014,12.535,13.8825,11.58,13.2975,12.535,0.76,6.08
26-SEP-2014,13.2975,14.8325,12.5375,12.9275,13.2975,-0.37,-2.78
29-SEP-2014,12.9275,14.2275,12.7675,13.385,12.9275,0.46,3.54
30-SEP-2014,13.385,13.5675,12.7225,13.145,13.385,-0.24,-1.79
01-OCT-2014,13.145,13.4775,12.8325,13,13.145,-0.15,-1.10
07-OCT-2014,13,14.57,13,14.4625,13,1.46,11.25
08-OCT-2014,14.4625,14.8475,13.675,14.1125,14.4625,-0.35,-2.42
09-OCT-2014,14.1125,14.1125,12.7475,13.155,14.1125,-0.96,-6.78
10-OCT-2014,13.155,14.455,12.445,14.33,13.155,1.18,8.93
13-OCT-2014,14.33,15.23,14.0725,14.5,14.33,0.17,1.19
14-OCT-2014,14.5,15.3025,12.9325,14.5925,14.5,0.09,0.64
16-OCT-2014,14.5925,16.885,14.32,16.4325,14.5925,1.84,12.61
17-OCT-2014,16.4325,16.855,14.7375,16.4,16.4325,-0.03,-0.20
20-OCT-2014,16.4,16.4,12.94,14.19,16.4,-2.21,-13.48
21-OCT-2014,14.19,14.19,11.98,13.33,14.19,-0.86,-6.06
22-OCT-2014,13.33,13.33,12.04,13.03,13.33,-0.30,-2.25
23-OCT-2014,13.03,13.115,11.845,12.8625,13.03,-0.17,-1.29
27-OCT-2014,12.8625,13.795,11.9225,13.515,12.8625,0.65,5.07
28-OCT-2014,13.515,13.655,12.035,13.3225,13.515,-0.19,-1.42
29-OCT-2014,13.3225,13.595,12.54,13.005,13.3225,-0.32,-2.38
30-OCT-2014,13.005,13.4575,11.7625,13.265,13.005,0.26,2.00
31-OCT-2014,13.265,13.76,12.215,13.295,13.265,0.03,0.23
03-NOV-2014,13.295,13.945,12.455,13.7375,13.295,0.44,3.33
05-NOV-2014,13.7375,14.32,12.49,13.755,13.7375,0.02,0.13
07-NOV-2014,13.755,14.7025,13.1225,14.11,13.755,0.36,2.58
10-NOV-2014,14.11,17.21,12.975,13.93,14.11,-0.18,-1.28
11-NOV-2014,13.93,15.485,12.72,14.8,13.93,0.87,6.25
12-NOV-2014,14.8,14.8,12.5875,14.435,14.8,-0.37,-2.47
13-NOV-2014,14.435,14.435,12.7125,13.8,14.435,-0.64,-4.40
14-NOV-2014,13.8,14.2,11.3825,13.9725,13.8,0.17,1.25
17-NOV-2014,13.9725,14.91,11.48,14.41,13.9725,0.44,3.13
18-NOV-2014,14.41,14.905,10.84,14.065,14.41,-0.35,-2.39
19-NOV-2014,14.065,14.6325,10.245,14.345,14.065,0.28,1.99
20-NOV-2014,14.345,14.355,11.905,14.165,14.345,-0.18,-1.25
