Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
19-SEP-2018,14.415,14.4775,11.745,14.005,14.415,-0.41,-2.84
21-SEP-2018,14.005,16.92,10.9825,15.535,14.005,1.53,10.92
24-SEP-2018,15.535,17.855,13.8025,17.4275,15.535,1.89,12.18
25-SEP-2018,17.4275,18.31,16.2175,16.6825,17.4275,-0.75,-4.27
26-SEP-2018,16.6825,17.575,15.1,17.0875,16.6825,0.41,2.43
27-SEP-2018,17.0875,17.37,15.6025,16.9225,17.0875,-0.17,-0.97
28-SEP-2018,16.9225,17.6925,15.925,16.995,16.9225,0.07,0.43
01-OCT-2018,16.995,18.8625,16.27,16.835,16.995,-0.16,-0.94
03-OCT-2018,16.835,18.6475,15.575,18.1175,16.835,1.28,7.62
04-OCT-2018,18.1175,19.685,17.485,18.915,18.1175,0.80,4.40
05-OCT-2018,18.915,20.4825,18.4525,19.7325,18.915,0.82,4.32
08-OCT-2018,19.7325,21.765,18.4775,20.1475,19.7325,0.42,2.10
09-OCT-2018,20.1475,20.3575,17.47,19.755,20.1475,-0.39,-1.95
10-OCT-2018,19.755,19.755,17.725,17.9075,19.755,-1.85,-9.35
11-OCT-2018,17.9075,20.845,17.6275,20.5475,17.9075,2.64,14.74
12-OCT-2018,20.5475,20.5475,16.6725,18.6275,20.5475,-1.92,-9.34
15-OCT-2018,18.6275,19.8225,15.9825,18.885,18.6275,0.26,1.38
16-OCT-2018,18.885,18.885,14.28,17.3725,18.885,-1.51,-8.01
17-OCT-2018,17.3725,18.2025,14.8425,17.98,17.3725,0.61,3.50
19-OCT-2018,17.98,20.0525,17.4475,19.7875,17.98,1.81,10.05
22-OCT-2018,19.7875,21.6725,17.08,21.3575,19.7875,1.57,7.93
23-OCT-2018,21.3575,22.3475,18.7625,19.0375,21.3575,-2.32,-10.86
24-OCT-2018,19.0375,19.81,17.7125,18.88,19.0375,-0.16,-0.83
25-OCT-2018,18.88,20.33,18.4975,18.9625,18.88,0.08,0.44
26-OCT-2018,18.9625,21.04,18.66,19.2325,18.9625,0.27,1.42
29-OCT-2018,19.2325,20.8125,19.2325,19.825,19.2325,0.59,3.08
30-OCT-2018,19.825,20.7725,19.55,20.5025,19.825,0.68,3.42
31-OCT-2018,20.5025,22.815,19.575,19.7975,20.5025,-0.71,-3.44
01-NOV-2018,19.7975,20.13,18.8975,19.1925,19.7975,-0.61,-3.06
02-NOV-2018,19.1925,19.1925,17.485,18.23,19.1925,-0.96,-5.01
05-NOV-2018,18.23,19.8225,17.735,19.4825,18.23,1.25,6.87
06-NOV-2018,19.4825,19.4825,16.18,18.505,19.4825,-0.98,-5.02
07-NOV-2018,18.505,18.505,16.81,17.8775,18.505,-0.63,-3.39
09-NOV-2018,17.8775,18.755,16.755,17.765,17.8775,-0.11,-0.63
12-NOV-2018,17.765,19.4625,16.475,19.3675,17.765,1.60,9.02
13-NOV-2018,19.3675,19.685,17.1225,18.695,19.3675,-0.67,-3.47
14-NOV-2018,18.695,19.5075,14.77,18.825,18.695,0.13,0.70
15-NOV-2018,18.825,18.915,15.4975,18.455,18.825,-0.37,-1.97
16-NOV-2018,18.455,18.8675,16.8975,18.35,18.455,-0.11,-0.57
19-NOV-2018,18.35,19.65,13.515,19.255,18.35,0.91,4.93
20-NOV-2018,19.255,19.6475,18.2525,19.3275,19.255,0.07,0.38
21-NOV-2018,19.3275,20.0975,15.54,19.555,19.3275,0.23,1.18
22-NOV-2018,19.555,20.0025,17.0875,19.16,19.555,-0.40,-2.02
26-NOV-2018,19.16,20.5275,15.0175,20.4025,19.16,1.24,6.48
27-NOV-2018,20.4025,20.4025,16.605,18.315,20.4025,-2.09,-10.23
28-NOV-2018,18.315,19.355,16.6725,17.96,18.315,-0.36,-1.94
29-NOV-2018,17.96,18.85,14.93,18.6975,17.96,0.74,4.11
30-NOV-2018,18.6975,19.915,16.81,19.1625,18.6975,0.47,2.49
03-DEC-2018,19.1625,19.605,16.31,18.2225,19.1625,-0.94,-4.91
04-DEC-2018,18.2225,19.62,16.905,18.1075,18.2225,-0.12,-0.63
05-DEC-2018,18.1075,18.8275,16.62,18.39,18.1075,0.28,1.56
06-DEC-2018,18.39,19.55,15.91,19.305,18.39,0.92,4.98
07-DEC-2018,19.305,19.6275,15.9825,18.59,19.305,-0.72,-3.70
10-DEC-2018,18.59,20.645,16.89,20.4375,18.59,1.85,9.94
11-DEC-2018,20.4375,20.4375,17.2025,17.945,20.4375,-2.49,-12.20
12-DEC-2018,17.945,17.945,15.4175,15.81,17.945,-2.14,-11.90
13-DEC-2018,15.81,15.905,11.9125,15.55,15.81,-0.26,-1.64
14-DEC-2018,15.55,15.5975,12.6725,15.1575,15.55,-0.39,-2.52
17-DEC-2018,15.1575,15.9125,13.8675,14.54,15.1575,-0.62,-4.07
18-DEC-2018,14.54,15.3125,11.9825,14.5775,14.54,0.04,0.26
19-DEC-2018,14.5775,14.865,11.87,14.66,14.5775,0.08,0.57
20-DEC-2018,14.66,14.9175,13.72,14.3325,14.66,-0.33,-2.23
21-DEC-2018,14.3325,16.23,12.94,15.9925,14.3325,1.66,11.58
24-DEC-2018,15.9925,17.1325,14.8975,15.75,15.9925,-0.24,-1.52
26-DEC-2018,15.75,17.4775,14.8075,15.92,15.75,0.17,1.08
27-DEC-2018,15.92,16.375,12.5625,16.0725,15.92,0.15,0.96
28-DEC-2018,16.0725,16.0725,15.015,15.27,16.0725,-0.80,-4.99
31-DEC-2018,15.27,16.1525,14.65,16,15.27,0.73,4.78
01-JAN-2019,16,16.4,15.15,15.325,16,-0.68,-4.22
02-JAN-2019,15.325,16.9475,14.8375,16.3875,15.325,1.06,6.93
03-JAN-2019,16.3875,17.1475,15.435,16.79,16.3875,0.40,2.46
04-JAN-2019,16.79,16.9725,15.485,16.1625,16.79,-0.63,-3.74
07-JAN-2019,16.1625,16.455,15.3025,16.3025,16.1625,0.14,0.87
08-JAN-2019,16.3025,16.5725,14.735,15.7,16.3025,-0.60,-3.70
09-JAN-2019,15.7,16.3225,13.895,15.27,15.7,-0.43,-2.74
10-JAN-2019,15.27,15.6075,14.1475,15.345,15.27,0.08,0.49
11-JAN-2019,15.345,15.83,14.3625,15.3525,15.345,0.01,0.05
14-JAN-2019,15.3525,16.5525,15.3525,16.1575,15.3525,0.81,5.24
15-JAN-2019,16.1575,16.1575,12.9925,15.5825,16.1575,-0.58,-3.56
16-JAN-2019,15.5825,16.3075,12.8,16.0775,15.5825,0.50,3.18
17-JAN-2019,16.0775,16.4275,12.9925,16.2425,16.0775,0.17,1.03
18-JAN-2019,16.2425,16.905,12.3075,16.6175,16.2425,0.38,2.31
21-JAN-2019,16.6175,18.34,14.36,18.1475,16.6175,1.53,9.21
22-JAN-2019,18.1475,18.4725,15.51,17.985,18.1475,-0.16,-0.90
23-JAN-2019,17.985,18.2875,12.015,18.085,17.985,0.10,0.56
24-JAN-2019,18.085,18.3775,14.5425,17.435,18.085,-0.65,-3.59
25-JAN-2019,17.435,18.14,14.365,17.69,17.435,0.26,1.46
28-JAN-2019,17.69,19.28,14.5875,18.8975,17.69,1.21,6.83
29-JAN-2019,18.8975,19.795,18.04,18.4275,18.8975,-0.47,-2.49
30-JAN-2019,18.4275,18.4275,15.9775,17.85,18.4275,-0.58,-3.13
31-JAN-2019,17.85,17.85,16.445,17.1225,17.85,-0.73,-4.08
01-FEB-2019,17.1225,17.185,15.545,15.72,17.1225,-1.40,-8.19
04-FEB-2019,15.72,16.4525,14.9675,15.7225,15.72,0.00,0.02
05-FEB-2019,15.7225,15.9775,14.605,15.78,15.7225,0.06,0.37
06-FEB-2019,15.78,15.9725,12.8325,15.63,15.78,-0.15,-0.95
07-FEB-2019,15.63,16.2225,13.5975,15.435,15.63,-0.20,-1.25
08-FEB-2019,15.435,15.815,12.9675,15.5675,15.435,0.13,0.86
11-FEB-2019,15.5675,16.355,13.46,15.84,15.5675,0.27,1.75
12-FEB-2019,15.84,15.975,13.23,15.75,15.84,-0.09,-0.57
13-FEB-2019,15.75,15.9025,11.81,15.73,15.75,-0.02,-0.13
14-FEB-2019,15.73,16.5775,12.09,15.7725,15.73,0.04,0.27
15-FEB-2019,15.7725,17.535,12.4475,16.46,15.7725,0.69,4.36
18-FEB-2019,16.46,18.1925,11.85,18,16.46,1.54,9.36
19-FEB-2019,18,18.605,15.2575,18.4675,18,0.47,2.60
20-FEB-2019,18.4675,18.4675,15.2375,17.055,18.4675,-1.41,-7.65
21-FEB-2019,17.055,17.1725,12.1275,16.0525,17.055,-1.00,-5.88
22-FEB-2019,16.0525,16.0525,12.315,15.45,16.0525,-0.60,-3.75
25-FEB-2019,15.45,16.035,11.7,15.3575,15.45,-0.09,-0.60
26-FEB-2019,15.3575,18.0975,13.12,17.115,15.3575,1.76,11.44
27-FEB-2019,17.115,19.9775,14.13,18.8975,17.115,1.78,10.41
28-FEB-2019,18.8975,18.8975,17.065,18.2775,18.8975,-0.62,-3.28
01-MAR-2019,18.2775,18.2775,15.895,16.275,18.2775,-2.00,-10.96
05-MAR-2019,16.275,16.86,15.45,15.6575,16.275,-0.62,-3.79
06-MAR-2019,15.6575,15.735,14.2875,15.61,15.6575,-0.05,-0.30
07-MAR-2019,15.61,15.6875,14.3125,15.2925,15.61,-0.32,-2.03
08-MAR-2019,15.2925,15.4125,12.92,14.94,15.2925,-0.35,-2.31
11-MAR-2019,14.94,15.38,13.67,14.895,14.94,-0.05,-0.30
12-MAR-2019,14.895,15.1975,13.84,15.0975,14.895,0.20,1.36
13-MAR-2019,15.0975,15.595,12.3,15.2775,15.0975,0.18,1.19
14-MAR-2019,15.2775,15.5225,13.7625,15.15,15.2775,-0.13,-0.83
15-MAR-2019,15.15,16.3925,11.845,15.865,15.15,0.72,4.72
18-MAR-2019,15.865,17.1875,14.2675,16.9,15.865,1.04,6.52
19-MAR-2019,16.9,17.1775,14.55,16.4925,16.9,-0.41,-2.41
20-MAR-2019,16.4925,16.4925,14.485,16.0325,16.4925,-0.46,-2.79
22-MAR-2019,16.0325,16.805,12.675,16.275,16.0325,0.24,1.51
25-MAR-2019,16.275,17.0275,14.2575,16.6725,16.275,0.40,2.44
26-MAR-2019,16.6725,16.6725,15.5175,16.485,16.6725,-0.19,-1.12
27-MAR-2019,16.485,17.4225,14.545,17.0475,16.485,0.56,3.41
28-MAR-2019,17.0475,17.3325,15.75,16.6525,17.0475,-0.40,-2.32
29-MAR-2019,16.6525,17.43,16.2375,17.185,16.6525,0.53,3.20
01-APR-2019,17.185,18.22,17.185,18.005,17.185,0.82,4.77
02-APR-2019,18.005,18.5525,17.44,18.0825,18.005,0.08,0.43
03-APR-2019,18.0825,18.8825,17.29,18.7825,18.0825,0.70,3.87
04-APR-2019,18.7825,19.325,18.25,18.65,18.7825,-0.13,-0.71
05-APR-2019,18.65,19.075,16.7625,18.3925,18.65,-0.26,-1.38
08-APR-2019,18.3925,20.4575,18.3925,20.1525,18.3925,1.76,9.57
09-APR-2019,20.1525,20.6625,16.55,20.28,20.1525,0.13,0.63
10-APR-2019,20.28,21.28,18.7,21.13,20.28,0.85,4.19
11-APR-2019,21.13,21.34,19.4125,20.9575,21.13,-0.17,-0.82
12-APR-2019,20.9575,21.3025,18.675,20.9975,20.9575,0.04,0.19
15-APR-2019,20.9975,22.24,18.76,21.3875,20.9975,0.39,1.86
16-APR-2019,21.3875,21.885,19.6725,21.6925,21.3875,0.31,1.43
18-APR-2019,21.6925,23.045,18.5,22.735,21.6925,1.04,4.81
22-APR-2019,22.735,24.5625,20.4075,24.05,22.735,1.32,5.78
23-APR-2019,24.05,26.3175,22.7775,24.645,24.05,0.60,2.47
24-APR-2019,24.645,25.125,23.445,23.7125,24.645,-0.93,-3.78
25-APR-2019,23.7125,25.535,22.7275,23.2325,23.7125,-0.48,-2.02
26-APR-2019,23.2325,23.9625,21.4325,21.7175,23.2325,-1.52,-6.52
30-APR-2019,21.7175,22.775,20.76,21.8275,21.7175,0.11,0.51
02-MAY-2019,21.8275,23.265,21.7675,22.9825,21.8275,1.16,5.29
03-MAY-2019,22.9825,24.1525,21.0975,24.0325,22.9825,1.05,4.57
06-MAY-2019,24.0325,27.835,19.74,26.4325,24.0325,2.40,9.99
07-MAY-2019,26.4325,26.81,23.0925,26.4775,26.4325,0.05,0.17
08-MAY-2019,26.4775,27.025,23.245,26.365,26.4775,-0.11,-0.42
09-MAY-2019,26.365,26.495,23.485,25.485,26.365,-0.88,-3.34
10-MAY-2019,25.485,26.525,24.535,26.335,25.485,0.85,3.34
13-MAY-2019,26.335,28.0625,23.7125,27.3825,26.335,1.05,3.98
14-MAY-2019,27.3825,27.76,22.39,27.1325,27.3825,-0.25,-0.91
15-MAY-2019,27.1325,29.0825,23.18,28.6575,27.1325,1.53,5.62
16-MAY-2019,28.6575,29.3275,23.7825,28.37,28.6575,-0.29,-1.00
17-MAY-2019,28.37,29.2325,25.4975,28.075,28.37,-0.30,-1.04
20-MAY-2019,28.075,28.075,19.76,23.675,28.075,-4.40,-15.67
21-MAY-2019,23.675,28.1025,20.2425,25.6525,23.675,1.98,8.35
22-MAY-2019,25.6525,30.1825,19.04,27.6325,25.6525,1.98,7.72
23-MAY-2019,27.6325,27.6325,18.9575,19.405,27.6325,-8.23,-29.77
24-MAY-2019,19.405,19.405,14.4925,16.4675,19.405,-2.94,-15.14
27-MAY-2019,16.4675,17.335,13.48,16.19,16.4675,-0.28,-1.69
28-MAY-2019,16.19,16.54,15.38,15.9225,16.19,-0.27,-1.65
29-MAY-2019,15.9225,16.5075,14.4775,16.4075,15.9225,0.49,3.05
30-MAY-2019,16.4075,16.4075,14.8525,15.61,16.4075,-0.80,-4.86
31-MAY-2019,15.61,16.7875,14.19,16.0675,15.61,0.46,2.93
03-JUN-2019,16.0675,16.2325,14.075,15.9675,16.0675,-0.10,-0.62
04-JUN-2019,15.9675,15.9675,14.6675,15.6275,15.9675,-0.34,-2.13
06-JUN-2019,15.6275,15.925,13.975,15.525,15.6275,-0.10,-0.66
07-JUN-2019,15.525,15.73,13.6275,14.8575,15.525,-0.67,-4.30
10-JUN-2019,14.8575,15.4525,13.4475,14.975,14.8575,0.12,0.79
11-JUN-2019,14.975,14.975,13.48,14.49,14.975,-0.49,-3.24
12-JUN-2019,14.49,14.71,13.31,14.1225,14.49,-0.37,-2.54
13-JUN-2019,14.1225,14.2925,13.2775,13.66,14.1225,-0.46,-3.27
14-JUN-2019,13.66,14.1175,12.6425,13.895,13.66,0.24,1.72
17-JUN-2019,13.895,14.96,13.52,14.65,13.895,0.76,5.43
18-JUN-2019,14.65,14.97,11.7375,14.6,14.65,-0.05,-0.34
19-JUN-2019,14.6,15.3,10.79,14.73,14.6,0.13,0.89
20-JUN-2019,14.73,15.1875,12.835,14,14.73,-0.73,-4.96
21-JUN-2019,14,14.8325,10.6025,14.61,14,0.61,4.36
24-JUN-2019,14.61,15.665,11.855,15.2225,14.61,0.61,4.19
25-JUN-2019,15.2225,15.585,14.9275,15.01,15.2225,-0.21,-1.40
26-JUN-2019,15.01,15.195,14.39,14.75,15.01,-0.26,-1.73
27-JUN-2019,14.75,14.8875,13.6475,14.645,14.75,-0.11,-0.71
28-JUN-2019,14.645,15.0725,13.995,14.9525,14.645,0.31,2.10
